name,location,email,rating,review_count,url,phone_clean,has_email,price,city,region,city_key
CasCades Restaurant,"Jln. Lanyahan, Br. Nagi, Ubud 80571 Indonesia",res@cascadesbali.com,4.7,900.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d1049183-Reviews-CasCades_Restaurant-Ubud_Gianyar_Regency_Bali.html,62361972111.0,1.0,,Ubud,Indonesia,Ubud
Apéritif Restaurant,"Jl. Lanyahan, Ubud 80571 Indonesia",res@aperitif.com,4.9,420.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d15147175-Reviews-Aperitif_Restaurant-Ubud_Gianyar_Regency_Bali.html,623619082777.0,1.0,$75 – $160,Ubud,Indonesia,Ubud
Kepitu Restaurant at The Kayon Jungle Resort,"Banjar Bresela, Desa Bresela The Kayon Jungle Resort, Ubud 80572 Indonesia",info@thekayonjungleresort.com,5.0,1340.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d15300989-Reviews-Kepitu_Restaurant_at_The_Kayon_Jungle_Resort-Ubud_Gianyar_Regency_Bali.html,62361978098.0,1.0,,Ubud,Indonesia,Ubud
Cretya Ubud,"Jl. Raya Tegallalang Alas Harum, Ubud 80561 Indonesia",reservation@cretyaubud.com,4.3,799.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d23303551-Reviews-Cretya_Ubud-Ubud_Gianyar_Regency_Bali.html,6281238021174.0,1.0,$25 – $65,Ubud,Indonesia,Ubud
Tablespoon Ubud,"Jl. Suweta No.99, Ubud 80571 Indonesia",experience.suweta@adiwanahotels.com,4.9,2898.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d23338837-Reviews-Tablespoon_Ubud-Ubud_Gianyar_Regency_Bali.html,6281237571449.0,1.0,$14 – $35,Ubud,Indonesia,Ubud
Padi Restaurant,"Jl. Raya Sebali Puri Sebali Resort, Ubud 80571 Indonesia",info@purisebaliresort.com,5.0,1122.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d24189678-Reviews-Padi_Restaurant-Ubud_Gianyar_Regency_Bali.html,623614792644.0,1.0,$14 – $35,Ubud,Indonesia,Ubud
Ambar Ubud Bar,"Jalan Raya Kedewatan, Ubud 80571 Indonesia",fb.reservation@ritzcarlton.com,5.0,1180.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d25090154-Reviews-Ambar_Ubud_Bar-Ubud_Gianyar_Regency_Bali.html,623614792792.0,1.0,$20 – $45,Ubud,Indonesia,Ubud
Hujan Locale,"Jl. Sri Wedari No.5, Ubud 80571 Indonesia",reservation@hujanlocale.com,4.5,1675.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d7379492-Reviews-Hujan_Locale-Ubud_Gianyar_Regency_Bali.html,6281353260275.0,1.0,$17 – $35,Ubud,Indonesia,Ubud
Kubu At Mandapa,"Jalan Kedewatan Banjar Kedewatan, Mandapa, a Ritz-Carlton Reserve, Ubud 80571 Indonesia",fb.reservation@ritzcarlton.com,4.9,1430.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d8130842-Reviews-Kubu_At_Mandapa-Ubud_Gianyar_Regency_Bali.html,623614792777.0,1.0,$65 – $150,Ubud,Indonesia,Ubud
Murni’s Warung,"Jalan Campuan Beside The Bridge, Ubud, Bali, Ubud 80571 Indonesia",murni@murnis.com,4.3,1834.0,https://www.tripadvisor.com/Restaurant_Review-g297701-d850442-Reviews-Murni_s_Warung-Ubud_Gianyar_Regency_Bali.html,62361975233.0,1.0,$7 – $15,Ubud,Indonesia,Ubud
OKU,"Jln. M.H. Thamrin No. 1 Hotel Indonesia Kempinski, Jakarta 10310 Indonesia",oku.jakarta@kempinski.com,4.8,856.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d10154182-Reviews-OKU-Jakarta_Java.html,622123583896.0,1.0,$55 – $120,Jakarta,Indonesia,Jakarta
BASQUE Bar de Tapas,"Noble House Building 8th Floor, Jl. DR Ide Anak Agung Gde Agung Mega Kuningan, Jakarta 12950 Indonesia",reservation@basquejkt.com,3.8,200.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d10235830-Reviews-BASQUE_Bar_de_Tapas-Jakarta_Java.html,622129783111.0,1.0,$30 – $75,Jakarta,Indonesia,Jakarta
Seasonal Tastes,"Jl. H.R. Rasuna Said Kav. C-22 A Gama Tower Level 51 The Westin Jakarta, Jakarta 12940 Indonesia",seasonaltaste.jakarta@westin.com,4.8,822.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d10915852-Reviews-Seasonal_Tastes-Jakarta_Java.html,622127887788.0,1.0,$40 – $85,Jakarta,Indonesia,Jakarta
Henshin,"Jl. H.R. Rasuna Said Kav. C-22 Gama Tower, Jakarta 12910 Indonesia",jakarta.henshin@westin.com,4.7,1136.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d12211766-Reviews-Henshin-Jakarta_Java.html,622127887768.0,1.0,$50 – $110,Jakarta,Indonesia,Jakarta
La Vue Rooftop Bar,"Jl. Cilacap no. 1 The Hermitage Jakarta, Jakarta 10310 Indonesia",restaurant.hermitage@tributeportfolio.com,4.6,41.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d12230649-Reviews-La_Vue_Rooftop_Bar-Jakarta_Java.html,622131926888.0,1.0,$23 – $60,Jakarta,Indonesia,Jakarta
Al Jazeerah Signature Jakarta,"Jl. Johar No. 8, Jakarta 10340 Indonesia",marketing.jakarta@aljazeerah.id,4.7,303.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d12817027-Reviews-Al_Jazeerah_Signature_Jakarta-Jakarta_Java.html,622131907590.0,1.0,$30 – $65,Jakarta,Indonesia,Jakarta
Mr. Fox Jakarta,"Jl. Jend. Sudirman Kav. 52-53 The Energy Building Ground Floor SCBD, Jakarta 12190 Indonesia",,4.5,58.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d12948272-Reviews-Mr_Fox_Jakarta-Jakarta_Java.html,622152961999.0,0.0,,Jakarta,Indonesia,Jakarta
Kahyangan Restaurant,"Jl M H Thamrin No 59 Jakarta Pusat, Jakarta 10350 Indonesia",h8491-fb7@accor.com,4.8,675.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d1384743-Reviews-Kahyangan_Restaurant-Jakarta_Java.html,622131921111.0,1.0,$50 – $110,Jakarta,Indonesia,Jakarta
Le Burger,"Jl. Jenderal Sudirman Kavling 52-53, Lot 11 Discovery Scbd, Jakarta 12190 Indonesia",info@leburgerjkt.com,4.8,409.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d14916496-Reviews-Le_Burger-Jakarta_Java.html,622150808788.0,1.0,$10 – $20,Jakarta,Indonesia,Jakarta
Sugar & Spice,"Jl. Metro Pondok Indah Kav. IV TA InterContinental Jakarta Pondok Indah, Jakarta 12310 Indonesia",anggita.rana@ihg.com,4.9,1117.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d15232647-Reviews-Sugar_Spice-Jakarta_Java.html,622139507355.0,1.0,$45 – $95,Jakarta,Indonesia,Jakarta
Tapas Club,"Jl. HR Rasuna Said Kav. 62 Setiabudi One, Jakarta 12920 Indonesia",setiabudi@tapasclub.com,4.5,50.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d15238119-Reviews-Tapas_Club-Jakarta_Java.html,622152907135.0,1.0,$20 – $45,Jakarta,Indonesia,Jakarta
Paulaner Brauhaus Jakarta,"Jl. M.H. Thamrin no. 1 Grand Indonesia, East Mall, Floor 2, Jakarta 10110 Indonesia",paulaner.jakarta@kempinski.com,4.6,1601.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d1838508-Reviews-Paulaner_Brauhaus_Jakarta-Jakarta_Java.html,622123583871.0,1.0,$28 – $55,Jakarta,Indonesia,Jakarta
Signatures Restaurant,"Jl. MH. Thamrin no. 1 Hotel Indonesia Kempinski Jakarta, Jakarta 10310 Indonesia",signatures.jakarta@kempinski.com,4.8,1338.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d1838942-Reviews-Signatures_Restaurant-Jakarta_Java.html,622123583898.0,1.0,$45 – $95,Jakarta,Indonesia,Jakarta
Harmony Square Coffee Shop,"Jl Hayam Wuruk No 36 37 Central, Jakarta 10120 Indonesia",H8535-FB@accor.com,5.0,1106.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d21408694-Reviews-Harmony_Square_Coffee_Shop-Jakarta_Java.html,62213453777.0,1.0,$7 – $18,Jakarta,Indonesia,Jakarta
Table8,"Jl. Asia Afrika Hotel Mulia Senayan, Jakarta 10270 Indonesia",fb.reservation@hotelmulia.com,4.9,2871.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d2170823-Reviews-Table8-Jakarta_Java.html,62215747777.0,1.0,$45 – $110,Jakarta,Indonesia,Jakarta
The Cafe,"Jl. Asia Afrika Hotel Mulia Senayan, Jakarta 10270 Indonesia",fb.reservation@hotelmulia.com,4.7,2220.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d2305894-Reviews-The_Cafe-Jakarta_Java.html,62215747777.0,1.0,,Jakarta,Indonesia,Jakarta
Dining Room At Park Hyatt Jakarta,"Jl. Kebon Sirih No.17-19, Kebon Sirih Kecamatan Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jakarta 10340 Indonesia",dineatthepark.jakarta@hyatt.com,4.9,882.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d24179706-Reviews-Dining_Room_At_Park_Hyatt_Jakarta-Jakarta_Java.html,622131190333.0,1.0,$60 – $130,Jakarta,Indonesia,Jakarta
Collage All Day Dining,"Jl. Letjen S. Parman Kav. 28 Pullman Jakarta Central Park, Jakarta 11470 Indonesia",h7536-fb6@accor.com,4.8,813.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d3404325-Reviews-Collage_All_Day_Dining-Jakarta_Java.html,622129200088.0,1.0,$40 – $85,Jakarta,Indonesia,Jakarta
PA.SO.LA Restaurant,"Jl. Jend Sudirman Kav 52 - 53 The Ritz-Carlton Jakarta, Pacific Place Level 6, Jakarta 12190 Indonesia",pasola.jakarta@ritzcarlton.com,4.9,1360.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d4163613-Reviews-PASOLA_Restaurant-Jakarta_Java.html,622125501993.0,1.0,$55 – $120,Jakarta,Indonesia,Jakarta
Sana Sini Restaurant,"Jl M H Thamrin No 59 Jakarta Pusat, Jakarta 10350 Indonesia",h8491-fb3@accor.com,4.8,2213.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d5995585-Reviews-Sana_Sini_Restaurant-Jakarta_Java.html,62213906444.0,1.0,$40 – $85,Jakarta,Indonesia,Jakarta
Bandar Djakarta Ancol,"Jl. Pantai Indah No.7 Taman Impian Jaya Ancol, Jakarta 14430 Indonesia",sosmed.grup@bandar-djakarta.com,4.4,2771.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d782968-Reviews-Bandar_Djakarta_Ancol-Jakarta_Java.html,62216456554.0,1.0,$25 – $60,Jakarta,Indonesia,Jakarta
Blu Martini Lounge & Pub,"Jl. DR Ide Anak Agung Gde Agung No 1-2 Kav E 1-2, Kuningan JW Marriott Hotel Kawasan Mega Kuningan, Setiabudi, Jakarta Indonesia",,4.6,30.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d8547846-Reviews-Blu_Martini_Lounge_Pub-Jakarta_Java.html,622157988801.0,0.0,$25 – $65,Jakarta,Indonesia,Jakarta
Sky Pool Bar Cafe,"Jl. M.H. Thamrin no. 1 Hotel Indonesia Kempinski, Jakarta 10110 Indonesia",skypoolbar.jakarta@kempinski.com,4.7,64.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d8551756-Reviews-Sky_Pool_Bar_Cafe-Jakarta_Java.html,622123583800.0,1.0,$20 – $55,Jakarta,Indonesia,Jakarta
Hermitage Lounge,"Jln. Cilacap no. 1 The Hermitage, Jakarta 10310 Indonesia",restaurant.hermitage@tributeportfolio.com,4.3,39.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d8587528-Reviews-Hermitage_Lounge-Jakarta_Java.html,622131926888.0,1.0,$23 – $55,Jakarta,Indonesia,Jakarta
Al Nafoura Lebanese Restaurant,"Jl. Jendral Sudirman 18 - 20 Lobby Level Hotel Le Meridien, Jakarta 10220 Indonesia",jktmd.reservation@lemeridien.com,4.8,1189.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d862663-Reviews-Al_Nafoura_Lebanese_Restaurant-Jakarta_Java.html,62212513131.0,1.0,$30 – $70,Jakarta,Indonesia,Jakarta
HAUSE Rooftop,"Jln. Setiabudi II MD Place Tower 2, 6 Floor no. 7, Jakarta 12910 Indonesia",hola@hausemade.com,4.0,100.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d8809859-Reviews-HAUSE_Rooftop-Jakarta_Java.html,6229529852.0,1.0,$20 – $45,Jakarta,Indonesia,Jakarta
The Dutch,"Kav 52-53 Jl. Jend Sudirman SCBD 18 Parc Place Tower E, GF, Jakarta 12190 Indonesia",info@thedutchjakarta.com,3.9,118.0,https://www.tripadvisor.com/Restaurant_Review-g294229-d9826860-Reviews-The_Dutch-Jakarta_Java.html,62215152828.0,1.0,$23 – $50,Jakarta,Indonesia,Jakarta
The Mall Tavern,"Terrace Kensington 71-73 Palace Gardens Terrace, London W8 4RU England",themall@londonpubs.com,4.0,394.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d1017375-Reviews-The_Mall_Tavern-London_England.html,442072293374.0,1.0,$32 – $75,London,England,London
Andy's Greek Taverna,"23 Pratt Street Camden, London NW1 0BG England",reservations@andystaverna.com,4.8,3256.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d10440481-Reviews-Andy_s_Greek_Taverna-London_England.html,442074859718.0,1.0,$25 – $50,London,England,London
Bonoo Indian Tapas Hampstead,"675 Finchley Road, London NW2 2JP England",,4.9,3761.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d10460592-Reviews-Bonoo_Indian_Tapas_Hampstead-London_England.html,442077948899.0,0.0,$25 – $50,London,England,London
The Kings Arms,"11a Buckfast Street, London E2 6 England",elvis@thekingsarmspub.com,4.5,13.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d13614219-Reviews-The_Kings_Arms-London_England.html,442077292627.0,1.0,$20 – $40,London,England,London
"The Coach & Horses, Soho","29 Greek Street Soho, London W1D 5DH England",coachandhorses@fullers.co.uk,3.7,296.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d1389714-Reviews-The_Coach_Horses_Soho-London_England.html,442074375920.0,1.0,,London,England,London
Dishoom Covent Garden,"12 Upper St. Martin's Lane Covent Garden, London WC2H 9FB England",hello@dishoom.com,4.4,7839.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d1863498-Reviews-Dishoom_Covent_Garden-London_England.html,442074209320.0,1.0,$20 – $40,London,England,London
Bustronome London,"Coach Bay 40b Victoria Embankment, London WC2N 6PB England",london@bustronome.com,4.9,780.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d19260282-Reviews-Bustronome_London-London_England.html,442037445554.0,1.0,$90 – $150,London,England,London
Hawksmoor Seven Dials,"11 Langley St, London WC2H 9JG England",sevendials@thehawksmoor.com,4.4,4821.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d1991481-Reviews-Hawksmoor_Seven_Dials-London_England.html,442074209390.0,1.0,$50 – $100,London,England,London
Sketch The Gallery,"9 Conduit Street Conduit Street, London W1S 2XG England",info@sketch.london,4.0,3523.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d2033622-Reviews-Sketch_The_Gallery-London_England.html,442076594500.0,1.0,$110 – $200,London,England,London
King Charles I,"55-57 Northdown Street, London N1 9BL England",,4.1,49.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d2439566-Reviews-King_Charles_I-London_England.html,442078377758.0,0.0,$20 – $40,London,England,London
The Southampton Arms,"139 Highgate Road, London NW5 1LE England",,4.5,156.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d3492336-Reviews-The_Southampton_Arms-London_England.html,447375755539.0,0.0,$20 – $35,London,England,London
Hawksmoor - Air Street,"5A Air Street, London W1J 0AD England",airstreet@thehawksmoor.com,4.3,3656.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d3598839-Reviews-Hawksmoor_Air_Street-London_England.html,447788224324.0,1.0,,London,England,London
"The Harp, Covent Garden","47 Chandos Place Covent Garden, London WC2N 4HS England",harp.coventgarden@fullers.co.uk,4.4,600.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d3649095-Reviews-The_Harp_Covent_Garden-London_England.html,442078360291.0,1.0,,London,England,London
Blythe Hill Tavern,"319 Stanstead Road, London SE23 1JB England",,4.6,52.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d5122911-Reviews-Blythe_Hill_Tavern-London_England.html,442086905176.0,0.0,$20 – $40,London,England,London
Golden Chippy,"62 Greenwich High Road, London SE10 8LF England",huseyinkanizi@gmail.com,4.8,2485.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d5244301-Reviews-Golden_Chippy-London_England.html,442086924333.0,1.0,$15 – $25,London,England,London
The Sutton Arms,"16 Great Sutton Street, London EC1V 0DH England",sutton.arms@fullers.co.uk,3.8,19.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d6609366-Reviews-The_Sutton_Arms-London_England.html,442072530723.0,1.0,$20 – $40,London,England,London
Sartoria Launceston Place,"1A Launceston Place Kensington, London W8 5RL England",launcestonplace@evolvcollection.com,4.7,1464.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d719675-Reviews-Sartoria_Launceston_Place-London_England.html,442079376912.0,1.0,$70 – $140,London,England,London
Darjeeling Express,"Top Floor, Kingly Court, London W1B 5PW England",info@darjeeling-express.com,4.3,611.0,https://www.tripadvisor.com/Restaurant_Review-g186338-d8829706-Reviews-Darjeeling_Express-London_England.html,442033753772.0,1.0,$30 – $60,London,England,London
Wahaca Edinburgh,"16 S St Andrew St, Edinburgh EH2 2AU Scotland",edinburgh@wahaca.co.uk,4.2,1261.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d11670361-Reviews-Wahaca_Edinburgh-Edinburgh_Scotland.html,441315643850.0,1.0,$20 – $40,Edinburgh,Scotland,Edinburgh
The World's End,"2-8 High Street, Edinburgh EH1 1TB Scotland",3942@greeneking.co.uk,4.4,3308.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d1186842-Reviews-The_World_s_End-Edinburgh_Scotland.html,441315563628.0,1.0,$20 – $40,Edinburgh,Scotland,Edinburgh
Holy Cow,"34 Elder Street, Edinburgh EH1 3DX Scotland",holycow.vegancafe@gmail.com,4.5,384.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d11977841-Reviews-Holy_Cow-Edinburgh_Scotland.html,441316297057.0,1.0,$15 – $30,Edinburgh,Scotland,Edinburgh
Cafe Miro,"25-25A Promenade Portobello, Edinburgh EH15 1HH Scotland",info@mirosportobello.co.uk,3.4,378.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d12070850-Reviews-Cafe_Miro-Edinburgh_Scotland.html,441316699996.0,1.0,$20 – $40,Edinburgh,Scotland,Edinburgh
Howies Waterloo Place,"29 Waterloo Place East end of Princes Street, Edinburgh EH1 3BQ Scotland",waterloo@howies.uk.com,4.7,5080.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d1209695-Reviews-Howies_Waterloo_Place-Edinburgh_Scotland.html,441315565766.0,1.0,$25 – $50,Edinburgh,Scotland,Edinburgh
Hummus,"366 Morningside Road, Edinburgh EH10 4QN Scotland",,5.0,64.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d15519425-Reviews-Hummus-Edinburgh_Scotland.html,441314663298.0,0.0,$15 – $30,Edinburgh,Scotland,Edinburgh
The Piper's Rest Public House,"3 Hunter Square Royal Mile, Edinburgh EH1 1QW Scotland",info@thepipersrest.co.uk,4.7,1054.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d19989006-Reviews-The_Piper_s_Rest_Public_House-Edinburgh_Scotland.html,441312855240.0,1.0,$20 – $40,Edinburgh,Scotland,Edinburgh
Restaurant 1925 by Dean Banks,"Princes Street The Caledonian Edinburgh, Edinburgh EH1 2AB Scotland",Info@deanbanks.co.uk,4.6,468.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d23423285-Reviews-Restaurant_1925_by_Dean_Banks-Edinburgh_Scotland.html,447401760638.0,1.0,$60 – $120,Edinburgh,Scotland,Edinburgh
The Alchemist Edinburgh St James Quarter,"414 St James Quarter, Edinburgh EH1 3AE Scotland",stjamesquarter@thealchemistbars.com,3.6,392.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d23600067-Reviews-The_Alchemist_Edinburgh_St_James_Quarter-Edinburgh_Scotland.html,441313747737.0,1.0,$25 – $55,Edinburgh,Scotland,Edinburgh
Doctors,"32 Forrest Road, Edinburgh EH1 2QN Scotland",7182@greeneking.co.uk,4.7,2159.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d2508000-Reviews-Doctors-Edinburgh_Scotland.html,441312251819.0,1.0,$20 – $35,Edinburgh,Scotland,Edinburgh
Timberyard,"10 Lady Lawson Street, Edinburgh EH3 9DS Scotland",eat@timberyard.co,4.2,1139.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d3418358-Reviews-Timberyard-Edinburgh_Scotland.html,441312211222.0,1.0,$60 – $120,Edinburgh,Scotland,Edinburgh
Mary's Milk Bar,"19 Grassmarket, Edinburgh EH1 2HS Scotland",hello@marysmilkbar.com,4.7,1260.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d4550887-Reviews-Mary_s_Milk_Bar-Edinburgh_Scotland.html,441310000000.0,1.0,$10 – $20,Edinburgh,Scotland,Edinburgh
Makars Gourmet Mash Bar,"12 N. Bank St 9 North Bank St for Entrance, Edinburgh EH1 2LN Scotland",makarsmash@eotis.com,4.8,10693.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d6481976-Reviews-Makars_Gourmet_Mash_Bar-Edinburgh_Scotland.html,441312261178.0,1.0,$20 – $40,Edinburgh,Scotland,Edinburgh
The Cellar Door Restaurant,"44-46 George IV Bridge Midlothian, Edinburgh EH1 1EJ Scotland",info@thecellardooredinburgh.com,4.4,1691.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d718615-Reviews-The_Cellar_Door_Restaurant-Edinburgh_Scotland.html,441312264155.0,1.0,$40 – $80,Edinburgh,Scotland,Edinburgh
Cafe St Honoré,"34 North West Thistle Street Lane, Edinburgh EH2 1EA Scotland",eat@cafesthonore.com,4.4,961.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d719680-Reviews-Cafe_St_Honore-Edinburgh_Scotland.html,441312262211.0,1.0,$40 – $80,Edinburgh,Scotland,Edinburgh
Number One at The Balmoral,"1 Princes Street, Edinburgh EH2 2EQ Scotland",numberone@roccofortehotels.com,4.8,1977.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d720180-Reviews-Number_One_at_The_Balmoral-Edinburgh_Scotland.html,441315576727.0,1.0,$120 – $220,Edinburgh,Scotland,Edinburgh
The Witchery Restaurant,"352 Castlehill, Edinburgh EH1 2NF Scotland",reservations@thewitchery.com,4.2,12132.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d720945-Reviews-The_Witchery_Restaurant-Edinburgh_Scotland.html,441312255613.0,1.0,$100 – $200,Edinburgh,Scotland,Edinburgh
Wedgwood The Restaurant,"267 Canongate, Royal Mile, Edinburgh EH8 8BQ Scotland",info@wedgwoodtherestaurant.co.uk,4.6,2502.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d815708-Reviews-Wedgwood_The_Restaurant-Edinburgh_Scotland.html,441315588737.0,1.0,$40 – $80,Edinburgh,Scotland,Edinburgh
Dine,"10 Cambridge Street (1st Floor, above Traverse Theatre), Edinburgh EH1 2ED Scotland",restaurant@dine.scot,4.8,4023.0,https://www.tripadvisor.com/Restaurant_Review-g186525-d8841939-Reviews-Dine-Edinburgh_Scotland.html,441312181818.0,1.0,$35 – $70,Edinburgh,Scotland,Edinburgh
